num_reward_actors,steps,batch_prompts,group_size,horizon,n_trajectories,reward_eval_seconds,throughput_traj_per_s,speedup_vs_w1,mean_sample_s,mean_reward_s,mean_learn_s,mean_step_s
1,10,8,8,12,640,0.278435374610126,2298.5585107357433,1.0,0.040022821095772085,0.0278435374610126,0.028909639129415153,0.09677599768619985
2,10,8,8,12,640,2.7855895776301622,229.753875136365,0.09995563483081547,0.0404164926847443,0.2785589577630162,0.02428998809773475,0.3432654385454953
4,10,8,8,12,640,6.349725566105917,100.79175758653952,0.04384998559565803,0.04078324260190129,0.6349725566105917,0.024778143991716205,0.7005339432042093
8,10,8,8,12,640,11.679868745617568,54.79513631008361,0.023838912977048512,0.04187803156673908,1.1679868745617568,0.026079633156768978,1.2359445392852648
16,10,8,8,12,640,21.910875105531886,29.209239563344404,0.012707633687338613,0.040713386004790665,2.1910875105531886,0.023948920215480028,2.2557498167734593
